cluster_nodes,n,k,run,method,time
1,1000,10,3,QR,2.0590503215789795
1,1000,10,3,SVD,1.459303617477417
1,1000,10,4,PySpark,0.46842193603515625
1,1000,10,4,QR,2.0812299251556396
1,1000,10,4,SVD,1.4215283393859863
1,1000,20,0,PySpark,0.371671199798584
1,1000,20,0,QR,2.3134658336639404
1,1000,20,0,SVD,1.2686989307403564
1,1000,20,1,PySpark,0.40605640411376953
1,1000,20,1,QR,1.8408153057098389
1,1000,20,1,SVD,1.2397196292877197
1,1000,20,2,PySpark,0.3771209716796875
1,1000,20,2,QR,1.7877023220062256
1,1000,20,2,SVD,1.2303552627563477
1,1000,20,3,PySpark,0.3833150863647461
1,1000,20,3,QR,1.8437855243682861
1,1000,20,3,SVD,1.3075101375579834
1,1000,20,4,PySpark,0.38408613204956055
1,1000,20,4,QR,1.8956120014190674
1,1000,20,4,SVD,1.2727172374725342
1,1000,30,0,PySpark,0.45834922790527344
1,1000,30,0,QR,2.5491726398468018
1,1000,30,0,SVD,1.4916322231292725
1,1000,30,1,PySpark,0.49597787857055664
1,1000,30,1,QR,2.0545270442962646
1,1000,30,1,SVD,1.4552648067474365
1,1000,30,2,PySpark,0.3668203353881836
1,1000,30,2,QR,2.17873215675354
1,1000,30,2,SVD,1.5052175521850586
1,1000,30,3,PySpark,0.40889763832092285
1,1000,30,3,QR,2.0144541263580322
1,1000,30,3,SVD,1.5212249755859375
1,1000,30,4,PySpark,0.4501457214355469
1,1000,30,4,QR,2.1169662475585938
1,1000,30,4,SVD,1.4456682205200195
1,10000,2,0,PySpark,0.5490250587463379
1,10000,2,0,QR,2.740600347518921
1,10000,2,0,SVD,1.5515096187591553
1,10000,2,1,PySpark,0.4970738887786865
1,10000,2,1,QR,2.1954760551452637
1,10000,2,1,SVD,1.5360548496246338
1,10000,2,2,PySpark,0.5396857261657715
1,10000,2,2,QR,2.297938585281372
1,10000,2,2,SVD,1.5168299674987793
1,10000,2,3,PySpark,0.5081741809844971
1,10000,2,3,QR,2.2289602756500244
1,10000,2,3,SVD,1.509093999862671
1,10000,2,4,PySpark,0.5072429180145264
1,10000,2,4,QR,2.1947150230407715
1,10000,2,4,SVD,1.5621576309204102
1,10000,10,0,PySpark,0.7774748802185059
1,10000,10,0,QR,3.7818074226379395
1,10000,10,0,SVD,2.471177339553833
1,10000,10,1,PySpark,0.7845804691314697
1,10000,10,1,QR,3.221529722213745
1,10000,10,1,SVD,2.4791948795318604
1,10000,10,2,PySpark,0.7630667686462402
1,10000,10,2,QR,3.8332109451293945
1,10000,10,2,SVD,2.514054775238037
1,10000,10,3,PySpark,0.7814886569976807
1,10000,10,3,QR,3.2992801666259766
1,10000,10,3,SVD,2.477848529815674
1,10000,10,4,PySpark,0.763505220413208
1,10000,10,4,QR,3.2437639236450195
1,10000,10,4,SVD,2.544116735458374
1,10000,20,0,PySpark,1.0216517448425293
1,10000,20,0,QR,5.05400824546814
1,10000,20,0,SVD,3.6847269535064697
1,10000,20,1,PySpark,1.006845235824585
1,10000,20,1,QR,4.5710978507995605
1,10000,20,1,SVD,3.7171666622161865
1,10000,20,2,PySpark,1.0424447059631348
1,10000,20,2,QR,4.703075408935547
1,10000,20,2,SVD,3.614112377166748
1,10000,20,3,PySpark,1.0608737468719482
1,10000,20,3,QR,4.609467506408691
1,10000,20,3,SVD,3.5988714694976807
1,10000,20,4,PySpark,1.0445191860198975
1,10000,20,4,QR,4.47925591468811
1,10000,20,4,SVD,3.637570381164551
1,1000,2,0,PySpark,4.763795852661133
1,1000,2,0,QR,3.5498433113098145
1,1000,2,0,SVD,1.2601318359375
1,1000,2,1,PySpark,0.47470951080322266
1,1000,2,1,QR,1.9353246688842773
1,1000,2,1,SVD,1.206104040145874
1,1000,2,2,PySpark,0.4760105609893799
1,1000,2,2,QR,1.8687198162078857
1,1000,2,2,SVD,1.2744879722595215
1,1000,2,3,PySpark,0.46332645416259766
1,1000,2,3,QR,1.8506054878234863
1,1000,2,3,SVD,1.2261106967926025
1,1000,2,4,PySpark,0.4821052551269531
1,1000,2,4,QR,1.8149726390838623
1,1000,2,4,SVD,1.1822443008422852
1,1000,10,0,PySpark,0.5110287666320801
1,1000,10,0,QR,2.5586557388305664
1,1000,10,0,SVD,1.4224433898925781
1,1000,10,1,PySpark,0.4978015422821045
1,1000,10,1,QR,2.1031429767608643
1,1000,10,1,SVD,1.427070140838623
1,1000,10,2,PySpark,0.4859640598297119
1,1000,10,2,QR,2.0513274669647217
1,1000,10,2,SVD,1.449716329574585
1,1000,10,3,PySpark,0.46845459938049316
1,1000,10,3,QR,2.0873560905456543
1,1000,10,3,SVD,1.4813575744628906
1,1000,10,4,PySpark,0.49439239501953125
1,1000,10,4,QR,2.078383445739746
1,1000,10,4,SVD,1.4134514331817627
1,1000,20,0,PySpark,0.3948497772216797
1,1000,20,0,QR,2.477679491043091
1,1000,20,0,SVD,1.3190171718597412
1,1000,20,1,PySpark,0.4738292694091797
1,1000,20,1,QR,1.8530192375183105
1,1000,20,1,SVD,1.3320252895355225
1,1000,20,2,PySpark,0.47124218940734863
1,1000,20,2,QR,1.9711720943450928
1,1000,20,2,SVD,1.433215618133545
1,1000,20,3,PySpark,0.42368412017822266
1,1000,20,3,QR,1.9413440227508545
1,1000,20,3,SVD,1.2950406074523926
1,1000,20,4,PySpark,0.37248969078063965
1,1000,20,4,QR,1.972783088684082
1,1000,20,4,SVD,1.331920862197876
1,1000,30,0,PySpark,0.454484224319458
1,1000,30,0,QR,2.556699752807617
1,1000,30,0,SVD,1.47733473777771
1,1000,30,1,PySpark,0.4761850833892822
1,1000,30,1,QR,2.1764211654663086
1,1000,30,1,SVD,1.5780515670776367
1,1000,30,2,PySpark,0.41144824028015137
1,1000,30,2,QR,2.2038533687591553
1,1000,30,2,SVD,1.546539545059204
1,1000,30,3,PySpark,0.4414942264556885
1,1000,30,3,QR,2.1225922107696533
1,1000,30,3,SVD,1.4796152114868164
1,1000,30,4,PySpark,0.41887354850769043
1,1000,30,4,QR,2.133828639984131
1,1000,30,4,SVD,1.449960708618164
1,10000,2,0,PySpark,0.5157990455627441
1,10000,2,0,QR,2.7585108280181885
1,10000,2,0,SVD,1.5971152782440186
1,10000,2,1,PySpark,0.5652036666870117
1,10000,2,1,QR,2.3025004863739014
1,10000,2,1,SVD,1.5493524074554443
1,10000,2,2,PySpark,0.5236046314239502
1,10000,2,2,QR,2.241529941558838
1,10000,2,2,SVD,1.566742181777954
1,10000,2,3,PySpark,0.5297946929931641
1,10000,2,3,QR,2.2776479721069336
1,10000,2,3,SVD,1.5660860538482666
1,10000,2,4,PySpark,0.5146703720092773
1,10000,2,4,QR,2.3569419384002686
1,10000,2,4,SVD,1.553022861480713
1,10000,10,0,PySpark,0.7822566032409668
1,10000,10,0,QR,3.6886918544769287
1,10000,10,0,SVD,2.5133912563323975
1,10000,10,1,PySpark,0.7700471878051758
1,10000,10,1,QR,3.3078033924102783
1,10000,10,1,SVD,2.521160364151001
1,10000,10,2,PySpark,0.7838811874389648
1,10000,10,2,QR,3.3067524433135986
1,10000,10,2,SVD,2.5348548889160156
1,10000,10,3,PySpark,0.7727549076080322
1,10000,10,3,QR,3.296452045440674
1,10000,10,3,SVD,2.4997143745422363
1,10000,10,4,PySpark,0.7657315731048584
1,10000,10,4,QR,3.4963467121124268
1,10000,10,4,SVD,2.6019935607910156
1,10000,20,0,PySpark,1.078974723815918
1,10000,20,0,QR,5.233770370483398
1,10000,20,0,SVD,3.806631565093994
1,10000,20,1,PySpark,1.0336189270019531
1,10000,20,1,QR,4.733718156814575
1,10000,20,1,SVD,3.665717601776123
1,10000,20,2,PySpark,1.0225863456726074
1,10000,20,2,QR,4.60506272315979
1,10000,20,2,SVD,3.654934883117676
1,10000,20,3,PySpark,1.024946928024292
1,10000,20,3,QR,4.650737285614014
1,10000,20,3,SVD,3.7354626655578613
1,10000,20,4,PySpark,1.0161001682281494
1,10000,20,4,QR,4.7440505027771
1,10000,20,4,SVD,3.6798224449157715
1,1000,2,0,PySpark,10.23875904083252
1,1000,2,0,QR,3.6534111499786377
1,1000,2,0,SVD,1.3544416427612305
1,1000,2,1,PySpark,0.45517802238464355
1,1000,2,1,QR,1.9159140586853027
1,1000,2,1,SVD,1.2366280555725098
1,1000,2,2,PySpark,0.43390417098999023
1,1000,2,2,QR,1.8568501472473145
1,1000,2,2,SVD,1.2351408004760742
1,1000,2,3,PySpark,0.4290144443511963
1,1000,2,3,QR,1.880333662033081
1,1000,2,3,SVD,1.2447996139526367
1,1000,2,4,PySpark,0.43172502517700195
1,1000,2,4,QR,1.850980281829834
1,1000,2,4,SVD,1.2315211296081543
1,1000,10,0,PySpark,0.4914982318878174
1,1000,10,0,QR,2.550434112548828
1,1000,10,0,SVD,1.472809076309204
1,1000,10,1,PySpark,0.466294527053833
1,1000,10,1,QR,2.108307123184204
1,1000,10,1,SVD,1.562589168548584
1,1000,10,2,PySpark,0.5023157596588135
1,1000,10,2,QR,2.1363673210144043
1,1000,10,2,SVD,1.5234179496765137
1,1000,10,3,PySpark,0.5128071308135986
1,1000,10,3,QR,2.0602052211761475
1,1000,10,3,SVD,1.4816980361938477
